,loudness
1322,-5.875
1323,-5.334
1324,-9.127
1325,-7.486
1326,
1327,-6.665
1328,-5.368
1329,-5.941
1330,-8.461
1331,-6.142
1332,-6.142
1333,-7.426
1334,-5.941
1335,-5.515
1336,-5.594
1337,-7.426
1338,-8.692
1339,-5.541
1340,-6.987
1341,-7.653
1342,-8.216
1343,-5.475
1344,-7.491
1345,-4.113
1346,-8.692
1347,-15.268
1348,-10.663
1349,-4.425
1350,-9.922
1351,-9.931
1352,-7.883
1353,-4.156
1354,-6.671
1355,-8.094
1356,-7.429
1357,-11.262
1358,-8.094
1359,-11.262
1360,-10.543
1361,-5.482
1362,-8.587
1363,-3.373
1364,-5.788
1365,-4.785
1366,-12.758
1367,-12.758
1368,-3.744
1369,-3.744
1370,-3.251
1371,-5.118
1372,-5.628
1373,-6.775
1374,-3.373
1375,-5.545
1376,-6.373
1377,-22.282
1378,-11.265
1379,-11.325
1380,-4.265
1381,-6.336
1382,-6.741
1383,-8.808
1384,-8.84
1385,-5.274
1386,-6.042
1387,-7.405
1388,-5.252
1389,-8.242
1390,-1.218
1391,-6.807
1392,-4.748
1393,-9.736
1394,-7.841
1395,-5.108
1396,-6.349
1397,-4.912
1398,-7.128
1399,-6.946
1400,-4.727
1401,-5.26
1402,-7.744
1403,-4.223
1404,-5.547
1405,-3.785
1406,-7.214
1407,-7.645
1408,-7.043
1409,-6.775
1410,-5.589
1411,-7.664
1412,-4.161
1413,-6.067
1414,-6.368
1415,-9.932
1416,-10.38
1417,-6.373
1418,-7.48
1419,-3.158
1420,-7.44
1421,-10.38
1422,-10.38
1423,-7.92
1424,-4.632
1425,
1426,-7.809
1427,-11.184
1428,-4.22
1429,-5.628
1430,-6.405
1431,-7.645
1432,-6.667
1433,-5.697
1434,-8.316
1435,
1436,-5.16
1437,-5.833
1438,-5.833
1439,-7.23
1440,
1441,-3.471
1442,-3.244
1443,-10.589
1444,-5.254
1445,
1446,-5.833
1447,-10.589
1448,-4.657
1449,-7.985
1450,-5.875
1451,-8.559
1452,-4.387
1453,-7.426
1454,-7.359
1455,-7.371
1456,-6.542
1457,-5.065
1458,-6.103
1459,-6.054
1460,-5.024
1461,-6.976
1462,-6.976
1463,-8.18
1464,-11.777
1465,-6.401
1466,-7.555
1467,-1.398
1468,-6.294
1469,-5.472
1470,-11.262
1471,-8.084
1472,-7.351
1473,-12.049
1474,-6.104
1475,-11.332
1476,-5.093
1477,-8.228
1478,-4.045
1479,-5.266
1480,-7.709
1481,-5.716
1482,-8.753
1483,-9.476
1484,-11.212
1485,-9.212
1486,-6.847
1487,-5.969
1488,-8.692
1489,-5.944
1490,-4.884
1491,-2.809
1492,-8.948
1493,-9.238
1494,-4.8
1495,-6.837
1496,-4.953
1497,-7.601
1498,-11.265
1499,-6.793
1500,-6.941
1501,-8.753
1502,-7.891
1503,-4.685
1504,-6.002
1505,-5.363
1506,-5.085
1507,-7.513
1508,-4.31
1509,-7.73
1510,-7.771
1511,-13.672
1512,-6.042
1513,-6.192
1514,-7.891
1515,-7.513
1516,-16.169
1517,-5.4
1518,-8.692
1519,-5.652
1520,-9.892
1521,-6.054
1522,-11.777
1523,-7.46
1524,-7.645
1525,-5.152
1526,-6.756
1527,
1528,-8.316
1529,-4.08
1530,-6.181
1531,-5.453
1532,-4.932
1533,-9.476
1534,-7.544
1535,-6.002
1536,-5.541
1537,-5.009
1538,-7.994
1539,-8.954
1540,-4.569
1541,-8.197
1542,-8.228
1543,-4.443
1544,-3.075
1545,-7.055
1546,-8.65
1547,-8.846
1548,-5.804
1549,-5.145
1550,-5.145
1551,-7.709
1552,-7.955
1553,-6.505
1554,-6.238
1555,-6.067
1556,-6.054
1557,-6.474
1558,-4.628
1559,-5.977
1560,-2.878
1561,-2.834
1562,-10.6
1563,-5.453
1564,
1565,-2.135
1566,-8.074
1567,-3.244
1568,-5.661
1569,-4.483
1570,-4.047
1571,-4.443
1572,-3.625
1573,-7.485
1574,-6.916
1575,-6.916
1576,-5.641
1577,-6.174
1578,-6.174
1579,-6.297
1580,-6.256
1581,-3.208
1582,-3.875
1583,-5.84
1584,-9.195
1585,-5.88
1586,-6.346
1587,-5.12
1588,-11.361
1589,-7.891
1590,-7.544
1591,-6.87
1592,-8.193
1593,-8.559
1594,-8.053
1595,-6.105
1596,-6.264
1597,-9.101
1598,-6.638
1599,-4.156
1600,-8.692
1601,-8.054
1602,-6.667
1603,-6.312
1604,-5.318
1605,-6.93
1606,-5.043
1607,-5.875
1608,-3.738
1609,-5.662
1610,-6.442
1611,-8.04
1612,-5.554
1613,-4.748
1614,-5.216
1615,-5.788
1616,-5.152
1617,-9.932
1618,-9.932
1619,-5.788
1620,-8.492
1621,-4.921
1622,-5.563
1623,-5.86
1624,-4.895
1625,-2.887
1626,-5.164
1627,-6.63
1628,-2.192
1629,-7.2
1630,-6.63
1631,-2.192
1632,-5.467
1633,-7.1
1634,-7.1
1635,-7.119
1636,-5.937
1637,-3.37
1638,-6.264
1639,-4.093
1640,-6.793
1641,-5.16
1642,-5.977
1643,-5.594
1644,-6.457
1645,-4.566
1646,-4.566
1647,-4.425
1648,-7.507
1649,-7.463
1650,-6.008
1651,-9.381
1652,-9.381
1653,-5.153
1654,
1655,-6.105
1656,-4.85
1657,-3.73
1658,-12.902
1659,-11.713
1660,-5.723
1661,-7.653
1662,-6.806
1663,-5.932
1664,-4.575
1665,-6.687
1666,-4.75
1667,-7.738
1668,-5.726
1669,-3.206
1670,-2.692
1671,-5.453
1672,-5.467
1673,-6.294
1674,-6.665
1675,-6.079
1676,-16.169
1677,-4.831
1678,-4.831
1679,-5.43
1680,-5.803
1681,-4.387
1682,-11.265
1683,-8.193
1684,-3.471
1685,-6.408
1686,-11.336
1687,-8.18
1688,-4.961
1689,-6.736
1690,-8.65
1691,-7.871
1692,-7.429
1693,-6.231
1694,-6.112
1695,-5.286
1696,-5.179
1697,-6.245
1698,-5.788
1699,-16.441
1700,-4.888
1701,-4.88
1702,-5.177
1703,-5.179
1704,-5.179
1705,-5.541
1706,-7.033
1707,-11.192
1708,-8.575
1709,-5.924
1710,-9.931
1711,-3.244
1712,-8.744
1713,-7.229
1714,-7.351
1715,-11.325
1716,-3.452
1717,-5.895
1718,-11.325
1719,-8.295
1720,-3.452
1721,-10.358
1722,-4.921
1723,-6.045
1724,-4.393
1725,-13.147
1726,-6.457
1727,-8.772
1728,-7.458
1729,-7.738
1730,-6.272
1731,-9.373
1732,-7.358
1733,-5.977
1734,-6.638
1735,-4.614
1736,-8.054
1737,-6.505
1738,-3.247
1739,-5.117
1740,-6.138
1741,-6.794
1742,-5.513
1743,-2.621
1744,-5.088
1745,-6.364
1746,-4.387
1747,-5.075
1748,-5.608
1749,-6.332
1750,-4.356
1751,-7.639
1752,-5.515
1753,-5.298
1754,-7.51
1755,-5.875
1756,-7.507
1757,-5.467
1758,-4.748
1759,-5.56
1760,-11.212
1761,-8.835
1762,-5.919
1763,-6.101
1764,-6.847
1765,-6.067
1766,-4.657
1767,-8.393
1768,-10.278
1769,-5.252
1770,-2.188
1771,-8.888
1772,-6.557
1773,-5.429
1774,-7.486
1775,-5.453
1776,-4.234
1777,-6.033
1778,-22.282
1779,-10.363
1780,-2.665
1781,-5.098
1782,-5.098
1783,-6.741
1784,-9.764
1785,-3.785
1786,-4.75
1787,-7.2
1788,-5.614
1789,-5.415
1790,-5.545
1791,-2.806
1792,-6.63
1793,-6.349
1794,-4.223
1795,-5.515
1796,-3.962
1797,-6.297
1798,-5.098
1799,-6.084
1800,-5.919
1801,-8.846
1802,-8.823
1803,-7.2
1804,-4.653
1805,-6.257
1806,-5.415
1807,-5.418
1808,-4.513
1809,-6.264
1810,-4.201
1811,-9.228
1812,-9.228
1813,-3.237
1814,-6.293
1815,-8.353
1816,-5.671
1817,-6.987
1818,-5.402
1819,-5.402
1820,-5.402
1821,-9.195
1822,-8.469
1823,-8.469
1824,-7.491
1825,-5.86
1826,-8.111
1827,-7.599
1828,-4.209
1829,-2.749
1830,-1.538
1831,-3.368
1832,-8.214
1833,-5.266
1834,-6.384
1835,-6.192
1836,-6.245
1837,-3.158
1838,-5.213
1839,-5.478
1840,-6.081
1841,-5.298
1842,-3.386
1843,-5.363
1844,-5.286
1845,-7.119
1846,
1847,-7.73
1848,-5.696
1849,-2.939
1850,-5.628
1851,
1852,-4.162
1853,-12.565
1854,-5.944
1855,-3.863
1856,-7.73
1857,-5.368
1858,-5.368
1859,-5.397
1860,-4.986
1861,-2.939
1862,-8.401
1863,-6.146
1864,-6.083
1865,-4.921
1866,-7.471
1867,-4.141
1868,-5.594
1869,-6.002
1870,-11.199
1871,-7.544
1872,-3.517
1873,-4.31
1874,-6.809
1875,-4.888
1876,-7.294
1877,-6.671
1878,-5.596
1879,-8.156
1880,-4.35
1881,-5.07
1882,-6.416
