,acousticness
1605,0.00388
1606,0.0293
1607,0.00462
1608,0.221
1609,0.377
1610,0.0175
1611,0.00157
1612,0.0177
1613,0.142
1614,0.0372
1615,0.0521
1616,0.0825
1617,0.036
1618,0.036
1619,0.0521
1620,0.324
1621,0.0403
1622,0.701
1623,0.0342
1624,0.0104
1625,0.0849
1626,0.0428
1627,0.019
1628,0.0629
1629,0.114
1630,0.019
1631,0.0629
1632,0.189
1633,0.213
1634,0.213
1635,0.15
1636,0.426
1637,0.0847
1638,0.309
1639,0.385
1640,0.159
1641,0.188
1642,0.000739
1643,0.0556
1644,0.0557
1645,0.00244
1646,0.00244
1647,0.0827
1648,0.629
1649,0.0123
1650,0.209
1651,0.231
1652,0.231
1653,0.334
1654,
1655,0.013
1656,0.184
1657,0.18
1658,0.569
1659,0.149
1660,0.556
1661,0.0942
1662,0.0404
1663,0.0363
1664,0.162
1665,0.104
1666,0.0168
1667,0.0399
1668,0.291
1669,0.331
1670,0.00765
1671,0.0128
1672,0.189
1673,0.0395
1674,0.517
1675,0.0123
1676,0.782
1677,0.000402
1678,0.000402
1679,0.107
1680,0.0219
1681,0.288
1682,0.791
1683,0.0361
1684,0.503
1685,0.188
1686,0.696
1687,0.103
1688,0.0381
1689,0.0948
1690,0.206
1691,0.00256
1692,0.00161
1693,0.208
1694,0.0852
1695,0.222
1696,0.0128
1697,0.121
1698,0.0521
1699,0.371
1700,0.524
1701,0.258
1702,0.325
1703,0.0128
1704,0.0128
1705,0.218
1706,0.333
1707,0.779
1708,0.0516
1709,0.0161
1710,0.588
1711,0.0345
1712,0.123
1713,0.0982
1714,0.00949
1715,0.665
1716,0.0359
1717,0.0744
1718,0.665
1719,0.0757
1720,0.0359
1721,0.0267
1722,0.0403
1723,0.00493
1724,0.371
1725,0.0186
1726,0.0557
1727,0.197
1728,0.544
1729,0.0399
1730,0.148
1731,0.111
1732,0.0484
1733,0.000739
1734,0.000282
1735,0.124
1736,0.077
1737,0.0735
1738,0.00104
1739,0.536
1740,0.0107
1741,0.0415
1742,0.465
1743,0.00754
1744,0.00173
1745,0.181
1746,0.288
1747,0.407
1748,0.0303
1749,0.105
1750,0.193
1751,0.0273
1752,0.0414
1753,0.0166
1754,0.00236
1755,0.00462
1756,0.629
1757,0.189
1758,0.142
1759,0.0533
1760,0.733
1761,0.0574
1762,0.274
1763,0.135
1764,0.064
1765,0.0119
1766,0.0912
1767,0.045
1768,0.0765
1769,0.0849
1770,0.0595
1771,0.0976
1772,0.000541
1773,0.000707
1774,0.0127
1775,0.0128
1776,0.0481
1777,0.165
1778,0.859
1779,0.191
1780,0.0906
1781,0.0862
1782,0.0862
1783,0.113
1784,0.0189
1785,0.00998
1786,0.0168
1787,0.114
1788,0.139
1789,0.0677
1790,0.174
1791,0.107
1792,0.019
1793,0.0141
1794,0.174
1795,0.0414
1796,0.119
1797,0.0421
1798,0.0862
1799,0.0352
1800,0.274
1801,0.25
1802,0.0335
1803,0.114
1804,0.156
1805,0.0204
1806,0.0677
1807,0.449
1808,0.171
1809,0.309
1810,0.345
1811,0.394
1812,0.394
1813,0.0622
1814,0.352
1815,0.000244
1816,0.497
1817,0.157
1818,0.00263
1819,0.00263
1820,0.00263
1821,0.459
1822,0.0477
1823,0.0477
1824,0.133
1825,0.0342
1826,0.142
1827,0.0128
1828,0.0739
1829,0.191
1830,0.0295
1831,0.128
1832,0.07
1833,0.194
1834,0.194
1835,0.025
1836,0.121
1837,0.0313
1838,0.28
1839,0.00142
1840,0.187
1841,0.0166
1842,0.0164
1843,0.00586
1844,0.222
1845,0.15
1846,
1847,0.0262
1848,0.0123
1849,0.653
1850,0.21
1851,
1852,0.119
1853,0.0683
1854,0.207
1855,0.31
1856,0.0262
1857,0.0546
1858,0.0546
1859,0.173
1860,0.0738
1861,0.653
1862,0.52
1863,0.342
1864,0.232
1865,0.0403
1866,0.0467
1867,0.0794
1868,0.0556
1869,0.0667
1870,0.521
1871,0.15
1872,0.202
1873,0.0455
1874,0.0123
1875,0.524
1876,0.281
1877,0.017
1878,0.00608
1879,0.279
1880,0.125
1881,0.0359
1882,0.3
1883,0.18
1884,0.0488
1885,0.0189
1886,0.0123
1887,0.0114
1888,0.0127
1889,0.11
1890,0.0128
1891,0.218
1892,0.0476
1893,0.0769
1894,0.0179
1895,0.524
1896,0.187
1897,0.0687
1898,0.00202
1899,0.665
1900,0.00813
1901,0.324
1902,0.149
1903,0.00263
1904,0.0421
1905,0.144
1906,0.0301
1907,0.125
1908,0.069
1909,0.186
1910,0.035
1911,0.0627
1912,0.00534
1913,
1914,0.00589
1915,
1916,0.000282
1917,0.0352
1918,0.173
1919,0.591
1920,0.251
1921,0.145
1922,0.261
1923,0.934
1924,0.233
1925,0.18
1926,0.211
1927,0.193
1928,0.324
1929,0.233
1930,0.189
1931,0.308
1932,0.0238
1933,0.646
1934,0.00207
1935,0.0193
1936,0.193
1937,0.157
1938,0.0546
1939,0.0957
1940,0.00111
1941,0.188
1942,0.0362
1943,0.0771
1944,0.0556
1945,0.523
1946,0.00587
1947,0.546
1948,0.331
1949,0.000739
1950,0.346
1951,0.015
1952,0.155
1953,0.198
1954,0.128
1955,0.0102
1956,0.291
