,liveness
1505,0.218
1506,0.129
1507,0.0947
1508,0.213
1509,0.114
1510,0.344
1511,0.19
1512,0.116
1513,0.0906
1514,0.114
1515,0.0947
1516,0.106
1517,0.15
1518,0.173
1519,0.269
1520,0.14
1521,0.0851
1522,0.384
1523,0.107
1524,0.291
1525,0.0726
1526,0.155
1527,
1528,0.181
1529,0.463
1530,0.119
1531,0.0582
1532,0.0772
1533,0.344
1534,0.0964
1535,0.119
1536,0.115
1537,0.0898
1538,0.176
1539,0.114
1540,0.154
1541,0.0981
1542,0.0871
1543,0.0785
1544,0.104
1545,0.219
1546,0.417
1547,0.164
1548,0.135
1549,0.106
1550,0.106
1551,0.0881
1552,0.383
1553,0.106
1554,0.0851
1555,0.113
1556,0.291
1557,0.119
1558,0.144
1559,0.132
1560,0.0818
1561,0.102
1562,0.129
1563,0.0582
1564,
1565,0.116
1566,0.104
1567,0.0986
1568,0.0979
1569,0.742
1570,0.178
1571,0.224
1572,0.431
1573,0.217
1574,0.118
1575,0.118
1576,0.114
1577,0.166
1578,0.166
1579,0.13
1580,0.413
1581,0.113
1582,0.103
1583,0.0982
1584,0.0942
1585,0.109
1586,0.0876
1587,0.125
1588,0.74
1589,0.114
1590,0.0964
1591,0.11
1592,0.111
1593,0.11
1594,0.0992
1595,0.28
1596,0.118
1597,0.195
1598,0.0958
1599,0.135
1600,0.173
1601,0.0971
1602,0.11
1603,0.0649
1604,0.116
1605,0.296
1606,0.104
1607,0.111
1608,0.135
1609,0.12
1610,0.146
1611,0.0573
1612,0.178
1613,0.179
1614,0.379
1615,0.0924
1616,0.0726
1617,0.0896
1618,0.0896
1619,0.0924
1620,0.0534
1621,0.195
1622,0.298
1623,0.0936
1624,0.196
1625,0.193
1626,0.183
1627,0.114
1628,0.165
1629,0.315
1630,0.114
1631,0.165
1632,0.126
1633,0.257
1634,0.257
1635,0.0698
1636,0.105
1637,0.149
1638,0.118
1639,0.11
1640,0.204
1641,0.0998
1642,0.132
1643,0.0884
1644,0.134
1645,0.23
1646,0.23
1647,0.542
1648,0.113
1649,0.316
1650,0.105
1651,0.143
1652,0.143
1653,0.0571
1654,
1655,0.28
1656,0.304
1657,0.254
1658,0.252
1659,0.271
1660,0.102
1661,0.23
1662,0.074
1663,0.129
1664,0.16
1665,0.79
1666,0.118
1667,0.117
1668,0.632
1669,0.103
1670,0.191
1671,0.118
1672,0.126
1673,0.484
1674,0.0996
1675,0.145
1676,0.106
1677,0.242
1678,0.242
1679,0.247
1680,0.336
1681,0.198
1682,0.108
1683,0.111
1684,0.103
1685,0.109
1686,0.0852
1687,0.103
1688,0.253
1689,0.113
1690,0.417
1691,0.108
1692,0.226
1693,0.559
1694,0.139
1695,0.281
1696,0.18
1697,0.0994
1698,0.0924
1699,0.112
1700,0.142
1701,0.123
1702,0.0662
1703,0.18
1704,0.18
1705,0.115
1706,0.342
1707,0.137
1708,0.0599
1709,0.109
1710,0.102
1711,0.0986
1712,0.0795
1713,0.561
1714,0.0895
1715,0.447
1716,0.951
1717,0.138
1718,0.447
1719,0.347
1720,0.951
1721,0.0888
1722,0.195
1723,0.381
1724,0.109
1725,0.139
1726,0.134
1727,0.159
1728,0.191
1729,0.117
1730,0.209
1731,0.0952
1732,0.126
1733,0.132
1734,0.0958
1735,0.204
1736,0.135
1737,0.106
1738,0.227
1739,0.12
1740,0.189
1741,0.152
1742,0.0338
1743,0.141
1744,0.0599
1745,0.143
1746,0.198
1747,0.148
1748,0.0923
1749,0.12
1750,0.18
1751,0.118
1752,0.0896
1753,0.249
1754,0.0812
1755,0.111
1756,0.113
1757,0.126
1758,0.179
1759,0.113
1760,0.334
1761,0.0662
1762,0.167
1763,0.432
1764,0.182
1765,0.086
1766,0.166
1767,0.276
1768,0.104
1769,0.717
1770,0.299
1771,0.151
1772,0.157
1773,0.318
1774,0.101
1775,0.118
1776,0.121
1777,0.327
1778,0.254
1779,0.104
1780,0.147
1781,0.207
1782,0.207
1783,0.105
1784,0.26
1785,0.0884
1786,0.118
1787,0.315
1788,0.465
1789,0.193
1790,0.344
1791,0.183
1792,0.114
1793,0.099
1794,0.329
1795,0.0896
1796,0.0632
1797,0.0927
1798,0.207
1799,0.106
1800,0.167
1801,0.164
1802,0.163
1803,0.315
1804,0.0884
1805,0.0658
1806,0.193
1807,0.147
1808,0.118
1809,0.118
1810,0.183
1811,0.142
1812,0.142
1813,0.0816
1814,0.145
1815,0.454
1816,0.112
1817,0.338
1818,0.159
1819,0.159
1820,0.159
1821,0.0942
1822,0.197
1823,0.197
1824,0.621
1825,0.0936
1826,0.111
1827,0.134
1828,0.316
1829,0.167
1830,0.46
1831,0.182
1832,0.236
1833,0.248
1834,0.141
1835,0.0906
1836,0.0994
1837,0.207
1838,0.106
1839,0.106
1840,0.116
1841,0.249
1842,0.329
1843,0.218
1844,0.281
1845,0.0698
1846,
1847,0.114
1848,0.372
1849,0.101
1850,0.0928
1851,
1852,0.331
1853,0.103
1854,0.074
1855,0.198
1856,0.114
1857,0.154
1858,0.154
1859,0.706
1860,0.701
1861,0.101
1862,0.12
1863,0.123
1864,0.101
1865,0.195
1866,0.139
1867,0.0916
1868,0.0884
1869,0.119
1870,0.169
1871,0.0964
1872,0.0899
1873,0.213
1874,0.117
1875,0.142
1876,0.117
1877,0.272
1878,0.11
1879,0.107
1880,0.138
1881,0.111
1882,0.136
1883,0.254
1884,0.214
1885,0.26
1886,0.372
1887,0.259
1888,0.101
1889,0.247
1890,0.118
1891,0.115
1892,0.0863
1893,0.0856
1894,0.356
1895,0.165
1896,0.116
1897,0.132
1898,0.105
1899,0.447
1900,0.114
1901,0.0534
1902,0.114
1903,0.159
1904,0.0927
1905,0.154
1906,0.179
1907,0.269
1908,0.122
1909,0.114
1910,0.107
1911,0.127
1912,0.41
1913,
1914,0.154
1915,
1916,0.0958
1917,0.106
1918,0.706
1919,0.148
1920,0.348
1921,0.292
1922,0.0619
1923,0.095
1924,0.157
1925,0.241
1926,0.103
1927,0.109
1928,0.0534
1929,0.157
1930,0.129
1931,0.213
1932,0.105
1933,0.0705
1934,0.11
1935,0.0591
1936,0.432
1937,0.165
1938,0.154
1939,0.0788
1940,0.383
1941,0.109
1942,0.417
1943,0.105
1944,0.0884
1945,0.148
1946,0.109
1947,0.111
1948,0.103
1949,0.132
1950,0.0839
1951,0.464
1952,0.33
1953,0.444
1954,0.0462
1955,0.165
1956,0.632
1957,0.104
1958,0.111
1959,0.094
1960,0.107
1961,0.254
1962,0.113
1963,0.103
1964,0.102
1965,0.382
1966,0.161
1967,0.35
1968,0.11
1969,0.13
1970,0.165
1971,0.79
1972,0.785
1973,0.113
1974,0.131
1975,0.157
1976,0.0917
1977,0.119
1978,0.137
1979,0.103
1980,0.114
1981,0.0936
1982,0.0928
1983,0.23
1984,0.374
1985,0.33
1986,0.0838
1987,0.101
1988,0.349
1989,0.527
1990,0.168
1991,0.118
1992,0.195
1993,0.0582
1994,0.118
1995,0.338
1996,0.193
1997,0.114
1998,0.311
1999,
2000,0.28
2001,0.119
2002,0.145
2003,0.338
2004,0.11
2005,0.108
2006,0.135
2007,0.382
2008,0.0863
2009,0.11
2010,0.411
2011,0.114
2012,0.411
2013,0.34
2014,0.345
2015,0.111
2016,0.104
2017,0.13
2018,0.112
2019,0.159
2020,0.0786
2021,0.266
2022,0.132
2023,0.133
2024,0.182
2025,0.163
2026,0.176
2027,0.588
2028,0.114
2029,0.382
2030,0.319
2031,0.0755
2032,0.0649
2033,0.116
2034,0.111
2035,0.158
2036,0.242
2037,0.143
2038,
2039,0.126
2040,0.094
2041,0.296
2042,0.208
2043,0.296
2044,0.166
2045,0.0924
2046,0.0711
2047,0.0898
2048,
2049,0.267
2050,0.162
2051,0.0936
2052,0.158
2053,0.132
2054,0.127
2055,0.297
2056,0.129
2057,0.137
2058,0.281
2059,0.109
2060,0.129
2061,0.081
2062,0.0964
2063,0.493
2064,0.226
2065,0.122
2066,0.105
2067,0.213
2068,0.307
2069,0.123
2070,0.0796
2071,0.298
2072,0.0573
2073,0.109
2074,0.241
2075,0.211
2076,0.167
2077,0.0871
2078,0.08
2079,0.1
2080,0.204
2081,0.0996
2082,0.213
2083,0.133
2084,0.11
2085,0.344
2086,0.124
2087,0.104
2088,0.115
2089,0.252
2090,0.252
2091,0.0753
2092,0.0914
2093,0.145
2094,0.0462
2095,0.114
2096,0.0897
2097,0.74
2098,0.269
2099,0.628
