,instrumentalness
1878,0.109
1879,0.0
1880,0.0
1881,6.34e-06
1882,0.0
1883,0.0
1884,0.0
1885,0.000716
1886,0.0
1887,0.0
1888,0.312
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.000335
1894,0.707
1895,0.000579
1896,0.0
1897,0.0
1898,0.0
1899,0.0165
1900,0.0
1901,0.0
1902,5.05e-05
1903,0.0
1904,0.0
1905,0.0
1906,1.61e-05
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,
1914,0.0
1915,
1916,5.39e-05
1917,8.81e-06
1918,0.0
1919,0.0724
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,1.11e-05
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.00178
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.000678
1941,0.000883
1942,0.0
1943,0.0
1944,0.0
1945,5.48e-05
1946,1.75e-06
1947,0.0
1948,0.0
1949,0.0146
1950,0.000202
1951,0.0
1952,0.00285
1953,0.0
1954,0.0
1955,0.0219
1956,0.0
1957,0.334
1958,0.0
1959,0.0
1960,1.11e-05
1961,0.0892
1962,0.0
1963,0.000225
1964,7.61e-06
1965,0.0
1966,0.0012
1967,0.0
1968,3.02e-05
1969,2.47e-06
1970,1.78e-05
1971,0.0
1972,0.0
