,tempo
1958,93.023
1959,135.042
1960,149.97
1961,84.902
1962,104.025
1963,177.978
1964,140.007
1965,163.806
1966,124.08
1967,130.169
1968,167.923
1969,123.968
1970,128.083
1971,116.971
1972,139.891
1973,134.972
1974,159.801
1975,162.966
1976,93.016
1977,141.894
1978,119.705
1979,125.03
1980,159.94
1981,72.57
1982,142.977
1983,135.038
1984,126.94
1985,134.032
1986,140.065
1987,140.053
1988,140.022
1989,90.494
1990,100.414
1991,97.988
1992,143.038
1993,129.954
1994,97.988
1995,79.993
1996,116.991
1997,145.884
1998,146.137
1999,
2000,162.038
2001,127.051
2002,196.043
2003,147.002
2004,141.97
2005,147.026
2006,139.935
2007,163.806
2008,85.018
2009,130.036
2010,147.045
2011,144.988
2012,130.021
2013,125.99
2014,160.003
2015,143.027
2016,160.113
2017,112.15
2018,129.953
2019,145.048
2020,122.803
2021,160.061
2022,129.976
2023,166.084
2024,144.973
2025,107.996
2026,81.193
2027,176.004
2028,118.003
2029,102.91
2030,100.034
2031,147.988
2032,128.012
2033,140.032
2034,151.901
2035,80.082
2036,100.14
2037,132.054
2038,
2039,148.28
2040,135.042
2041,147.899
2042,127.275
2043,147.899
2044,160.032
2045,98.043
2046,159.966
2047,146.976
2048,
2049,149.972
2050,160.085
2051,72.57
2052,144.991
2053,128.047
2054,140.04
2055,134.021
2056,81.114
2057,97.993
2058,79.745
2059,124.96
2060,142.948
2061,156.958
2062,122.991
2063,120.017
2064,136.919
2065,124.038
2066,84.98
2067,140.954
2068,160.099
2069,153.848
2070,158.896
2071,89.853
2072,150.001
2073,144.038
2074,76.069
2075,140.057
2076,100.015
2077,75.016
2078,166.162
2079,80.015
2080,132.01
2081,114.86
2082,169.685
2083,175.954
2084,118.012
2085,120.033
2086,121.949
2087,97.949
2088,160.414
2089,86.003
2090,86.003
2091,180.064
2092,166.077
2093,123.906
2094,142.006
2095,130.032
2096,137.809
2097,109.412
2098,142.791
2099,95.953
2100,146.084
2101,94.932
2102,142.957
2103,180.985
2104,74.017
2105,97.988
2106,138.064
2107,142.037
2108,86.009
2109,153.993
2110,184.194
2111,148.028
2112,77.542
2113,162.038
2114,125.995
2115,154.853
2116,123.964
2117,77.031
2118,123.189
2119,140.016
2120,140.016
2121,141.973
2122,129.954
2123,107.356
2124,167.909
2125,160.084
2126,154.964
2127,149.935
2128,141.004
2129,139.999
2130,181.982
2131,91.344
2132,150.011
2133,149.962
2134,119.705
2135,
2136,134.042
2137,146.93
2138,139.919
2139,151.951
2140,74.949
2141,120.013
2142,128.033
2143,157.938
2144,150.969
2145,144.058
2146,100.027
2147,166.055
2148,135.001
2149,168.197
2150,113.47
